DR_NO,DATE_OCC,AREA_NAME,CRM_CD_DESC,VICT_AGE,VICT_SEX,VICT_DESCENT,PREMIS_DESC,WEAPON_DESC,LOCATION,Year,Month,American Indian and Alaska Native (Proportion),Asian (Proportion),African American (Proportion),Native Hawaiian and Other Pacific Islander (Proportion),White (Proportion),Hispanic or Latino (Proportion)
250504239,3/13/25,Harbor,VEHICLE - STOLEN,X,X,X,PARKING LOT,Unknown / None Used,1300 N  FRIES                        AV,2025,3,0.006148526,0.071994904,0.053170732,0.002435384,0.13100837277029487,0.44983618492901345
250504238,3/13/25,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),X,X,X,STREET,Unknown / None Used,BERTH 73,2025,3,0.006148526,0.071994904,0.053170732,0.002435384,0.13100837277029487,0.44983618492901345
250304275,3/13/25,Southwest,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,3100    MCCLINTOCK                   AV,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251000503,3/13/25,West Valley,BATTERY - SIMPLE ASSAULT,16,M,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",18200    KITTRIDGE                    ST,2025,3,0.005135756,0.078949932,0.03468526,0.000835334,0.32718157911321694,0.28722535106364694
251700501,3/13/25,Devonshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,16,M,H,STREET,VERBAL THREAT,11200    GOTHIC                       AV,2025,3,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
251904204,3/12/25,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",15,M,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",13000    BORDEN                       AV,2025,3,0.008700455,0.06771261,0.019734331085691816,0.001338754,0.078665525,0.4497692601288442
252104142,3/12/25,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,M,H,STREET,UNKNOWN WEAPON/OTHER WEAPON,6200    WINNETKA                     AV,2025,3,0,0.13333333333333333,0,0,0.8666666666666667,0
251904205,3/12/25,Mission,BATTERY - SIMPLE ASSAULT,16,M,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",13000    BORDEN                       AV,2025,3,0.008700455,0.06771261,0.019734331085691816,0.001338754,0.078665525,0.4497692601288442
250404153,3/12/25,Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,11,M,H,HIGH SCHOOL,UNKNOWN WEAPON/OTHER WEAPON,700 S  INDIANA                      ST,2025,3,0.011971752874625652,0.056094945835027915,0.010873664362036455,0.000928014,0.03258402,0.4815025696010648
252104143,3/12/25,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,M,W,STREET,UNKNOWN WEAPON/OTHER WEAPON,6200    WINNETKA                     AV,2025,3,0,0.13333333333333333,0,0,0.8666666666666667,0
252104145,3/11/25,Topanga,OTHER MISCELLANEOUS CRIME,X,M,W,STREET,Unknown / None Used,21000    VENTURA                      BL,2025,3,0,0.13333333333333333,0,0,0.8666666666666667,0
251804209,3/11/25,Southeast,BATTERY - SIMPLE ASSAULT,17,F,H,MTA BUS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",MANCHESTER,2025,3,0.009410915,0.027298026469526056,0.093004482,0.000998449,0.14277823805578568,0.3953646464002719
252104137,3/9/25,Topanga,OTHER MISCELLANEOUS CRIME,35,M,X,STREET,Unknown / None Used,21000    VENTURA                      BL,2025,3,0,0.13333333333333333,0,0,0.8666666666666667,0
250304262,3/9/25,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",X,X,X,STREET,Unknown / None Used,1100 W  25TH                         ST,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
250304269,3/10/25,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",X,X,X,STREET,Unknown / None Used,600    CHILDS                       WY,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
2503,3/10/25,Southwest,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,600    CHILDS                       WY,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
250304258,3/7/25,Southwest,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,600 W  JEFFERSON                    BL,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251904194,3/7/25,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),X,X,X,HIGH SCHOOL,Unknown / None Used,8000    VAN NUYS                     BL,2025,3,0.008700455,0.06771261,0.019734331085691816,0.001338754,0.078665525,0.4497692601288442
251804196,3/6/25,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),X,X,X,ELEMENTARY SCHOOL,Unknown / None Used,8900 S  MAIN                         ST,2025,3,0.009410915,0.027298026469526056,0.093004482,0.000998449,0.14277823805578568,0.3953646464002719
250404134,3/5/25,Hollenbeck,VEHICLE - STOLEN,X,X,X,PARKING LOT,Unknown / None Used,1200    CORNWELL                     ST,2025,3,0.011971752874625652,0.056094945835027915,0.010873664362036455,0.000928014,0.03258402,0.4815025696010648
251704172,3/5/25,Devonshire,BRANDISH WEAPON,16,M,H,STREET,UNKNOWN WEAPON/OTHER WEAPON,9200    HASKELL                      AV,2025,3,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
251704173,3/5/25,Devonshire,BRANDISH WEAPON,14,M,H,STREET,UNKNOWN WEAPON/OTHER WEAPON,9200    HASKELL                      AV,2025,3,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
250304253,3/5/25,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",X,X,X,STREET,Unknown / None Used,1300 W  JEFFERSON                    BL,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251904183,3/3/25,Mission,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,14,M,H,JUNIOR HIGH SCHOOL,KNIFE WITH BLADE 6INCHES OR LESS,15300    PLUMMER                      ST,2025,3,0.008700455,0.06771261,0.019734331085691816,0.001338754,0.078665525,0.4497692601288442
251904184,3/3/25,Mission,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,13,M,H,JUNIOR HIGH SCHOOL,KNIFE WITH BLADE 6INCHES OR LESS,15300    PLUMMER                      ST,2025,3,0.008700455,0.06771261,0.019734331085691816,0.001338754,0.078665525,0.4497692601288442
251000502,3/2/25,West Valley,OTHER MISCELLANEOUS CRIME,X,M,O,PARK/PLAYGROUND,Unknown / None Used,6300    WOODLEY                      AV,2025,3,0.005135756,0.078949932,0.03468526,0.000835334,0.32718157911321694,0.28722535106364694
250304235,3/1/25,Southwest,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,3600    WATT                         WY,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251704164,3/3/25,Devonshire,BATTERY - SIMPLE ASSAULT,53,M,O,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11200    GOTHIC                       AV,2025,3,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
250304232,2/28/25,Southwest,VEHICLE - STOLEN,X,X,X,"BUS DEPOT/TERMINAL, OTHER THAN MTA",Unknown / None Used,3200 S  HOOVER                       ST,2025,2,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251704170,2/28/25,Devonshire,BATTERY - SIMPLE ASSAULT,14,F,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",11200    GOTHIC                       AV,2025,2,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
250304246,3/4/25,Southwest,VEHICLE - STOLEN,X,X,X,GARAGE/CARPORT,Unknown / None Used,2600    PORTLAND                     ST,2025,3,0.010103496200322219,0.014875814720688966,0.15252790626520632,0.000852401,0.044015522,0.4199391916074031
251704149,2/28/25,Devonshire,BATTERY - SIMPLE ASSAULT,67,F,B,JUNIOR HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",21000    PLUMMER                      ST,2025,2,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
250504206,2/28/25,Harbor,VEHICLE - STOLEN,X,X,X,PARKING LOT,Unknown / None Used,600    TERMINAL                     WY,2025,2,0.006148526,0.071994904,0.053170732,0.002435384,0.13100837277029487,0.44983618492901345
251604136,2/27/25,Foothill,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,11900    SHELDON                      ST,2025,2,0.007392609,0.044713235,0.022644237496307583,0.001096065,0.25889678332115484,0.3581489715644968
251600003,2/27/25,Foothill,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,13500    CORNELIUS                    ST,2025,2,0.007392609,0.044713235,0.022644237496307583,0.001096065,0.25889678332115484,0.3581489715644968
250504204,2/26/25,Harbor,OTHER MISCELLANEOUS CRIME,X,X,X,POLICE FACILITY,Unknown / None Used,2100    JOHN S GIBSON                BL,2025,2,0.006148526,0.071994904,0.053170732,0.002435384,0.13100837277029487,0.44983618492901345
250804208,2/26/25,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,X,X,X,JUNIOR HIGH SCHOOL,VERBAL THREAT,1600    SELBY                        AV,2025,2,0.002867153,0.17807299270072993,0.043824817518248176,0.002037956,0.503748905,0.12517956204379563
250400004,2/26/25,Hollenbeck,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,800    EUCLID                       AV,2025,2,0.011971752874625652,0.056094945835027915,0.010873664362036455,0.000928014,0.03258402,0.4815025696010648
251704150,2/26/25,Devonshire,BATTERY - SIMPLE ASSAULT,12,F,H,JUNIOR HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",10100    VARIEL                       AV,2025,2,0.007723454,0.16577928,0.043148523,0.001279272,0.32108925411678435,0.23919991710637484
